site,cropp,time,response,SE,df,lower.CL,upper.CL,.group,year,plant,location,planting,crop,gender,height,weight,planting1,doyp,harvest,doyh,dap
clay center,corn,July,3.948442229,0.776032662,1069.625572,2.684972619,5.806463696, a ,2018,1,arlington,June ,fallow,m,38,10.2,6/1/18,152,25-Jun,176,24
macomb,corn,July,1.377524594,0.359324399,1088.673007,0.825692049,2.298161899,  b,2018,2,arlington,June ,fallow,m,30,8,6/1/18,152,25-Jun,176,24
grant,corn,July,1.221056349,0.267350041,1079.911938,0.794613951,1.87635594,  b,2018,3,arlington,June ,fallow,m,29,3.7,6/1/18,152,25-Jun,176,24
arlington,corn,July,1.1774521,0.248036908,1076.428573,0.778809089,1.78014544,  b,2018,4,arlington,June ,fallow,f,53,15.9,6/1/18,152,28-Jun,179,27
havelock,corn,July,0.733702512,0.236419738,1090.99994,0.389882847,1.380720851,  b,2018,5,arlington,June ,fallow,m,42,33.1,6/1/18,152,28-Jun,179,27
clay center,corn,June,32.40526796,6.825485102,1077.222977,21.43514001,48.9897146, a ,2018,6,arlington,June ,fallow,m,52,24.4,6/1/18,152,28-Jun,179,27
grant,corn,June,27.0864943,7.205093721,1088.959486,16.0723188,45.64855776, a ,2018,7,arlington,June ,fallow,f,51,23.5,6/1/18,152,28-Jun,179,27
macomb,corn,June,13.11495984,2.550443277,1067.92319,8.954626407,19.20819069,  b,2018,8,arlington,June ,fallow,m,23,3.5,6/1/18,152,28-Jun,179,27
arlington,corn,June,11.44198741,2.22519624,1067.551928,7.812229294,16.7582224,  b,2018,9,arlington,June ,fallow,f,56,13.5,6/1/18,152,28-Jun,179,27
havelock,corn,June,7.188385257,1.84029182,1088.072515,4.349840746,11.87925849,  b,2018,10,arlington,June ,fallow,f,89,93.3,6/1/18,152,6-Jul,187,35
clay center,fallow,July,261.7333625,50.89824904,1068.006196,178.7069707,383.3334132, a   ,2018,11,arlington,June ,fallow,f,56,55,6/1/18,152,6-Jul,187,35
grant,fallow,July,254.5421505,69.09858829,1089.358822,149.4285543,433.5965553, a   ,2018,12,arlington,June ,fallow,f,79,64.5,6/1/18,152,6-Jul,187,35
arlington,fallow,July,69.6826381,14.16251565,1072.6417,46.76579379,103.8295228,  b  ,2018,13,arlington,June ,fallow,m,81,89.4,6/1/18,152,6-Jul,187,35
macomb,fallow,July,33.70585008,6.554772202,1067.858089,23.01359153,49.36579881,   c ,2018,14,arlington,June ,fallow,f,111,246.9,6/1/18,152,16-Jul,197,45
havelock,fallow,July,2.168939732,0.644641103,1090.674732,1.210533142,3.886138593,    d,2018,15,arlington,June ,fallow,f,140,278.9,6/1/18,152,16-Jul,197,45
clay center,fallow,June,213.2926392,41.47787721,1068.055172,145.6328906,312.3865066, a   ,2018,16,arlington,June ,fallow,f,100,256.4,6/1/18,152,16-Jul,197,45
havelock,fallow,June,121.6711217,25.62786749,1077.158972,80.48135749,183.941503,  b  ,2018,17,arlington,June ,fallow,f,139,141.8,6/1/18,152,16-Jul,197,45
grant,fallow,June,70.51757744,16.85602105,1085.422547,44.11690893,112.7170704,  bc ,2018,18,arlington,June ,fallow,f,150,332.7,6/1/18,152,16-Jul,197,45
macomb,fallow,June,51.33520476,9.87964499,1066.422521,35.18944044,74.88903532,   cd,2018,19,arlington,June ,fallow,m,115,332.9,6/1/18,152,16-Jul,197,45
arlington,fallow,June,30.44283298,5.858832818,1066.422521,20.86806243,44.41073928,    d,2018,20,arlington,June ,fallow,f,92,158.6,6/1/18,152,16-Jul,197,45
grant,soybean,July,57.32690242,13.28445062,1083.777288,36.38209564,90.32942395, a   ,2018,21,arlington,June ,fallow,f,113,172.8,6/1/18,152,16-Jul,197,45
clay center,soybean,July,13.08220727,2.658505493,1073.603214,8.780284073,19.49186901,  b  ,2018,22,arlington,June ,fallow,f,119,342.1,6/1/18,152,19-Jul,200,48
arlington,soybean,July,4.286397608,0.871179623,1072.655181,2.876712149,6.386876234,   c ,2018,23,arlington,June ,fallow,f,117,215.1,6/1/18,152,24-Jul,205,53
havelock,soybean,July,1.448737034,0.466824121,1090.99994,0.769845694,2.726311274,    d,2018,24,arlington,June ,fallow,,140,832.3,6/1/18,152,31-Jul,212,60
macomb,soybean,July,1.33375237,0.313800163,1085.009983,0.840589781,2.116246741,    d,2018,1,arlington,July,corn,m,30,0.1,7/1/18,182,24-Jul,205,23
clay center,soybean,June,85.1090768,16.72843549,1069.185647,57.87355263,125.161747, a   ,2018,2,arlington,July,corn,m,20,0.1,7/1/18,182,24-Jul,205,23
grant,soybean,June,42.77257047,9.766040885,1082.889142,27.32734345,66.94733384,  b  ,2018,3,arlington,July,corn,m,23,0.2,7/1/18,182,28-Jul,209,27
arlington,soybean,June,21.97653969,4.367106981,1070.020533,14.88057606,32.45629032,   c ,2018,4,arlington,July,corn,m,75,1.8,7/1/18,182,31-Jul,212,30
havelock,soybean,June,21.48956691,4.906425257,1083.084799,13.72988134,33.63477618,   c ,2018,5,arlington,July,corn,m,29,0.7,7/1/18,182,31-Jul,212,30
macomb,soybean,June,11.5534954,2.246788022,1067.92319,7.88849042,16.92126744,    d,2018,6,arlington,July,corn,m,23,0.7,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,7,arlington,July,corn,f,39,0.7,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,8,arlington,July,corn,m,42,1.5,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,9,arlington,July,corn,m,48,1.2,7/1/18,182,3-Aug,215,33
,,,,,,,,,2018,18,arlington,July,corn,m,26,0.2,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,10,arlington,July,corn,f,41,1.2,7/1/18,182,14-Aug,226,44
,,,,,,,,,2018,11,arlington,July,corn,f,53,0.9,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,12,arlington,July,corn,m,27,0.2,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,14,arlington,July,corn,f,44,0.6,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,15,arlington,July,corn,f,47,0.8,7/1/18,182,20-Aug,232,50
,,,,,,,,,2018,16,arlington,July,corn,m,25,0.1,7/1/18,182,20-Aug,232,50
